subject,frame,kernel,mean,std,var,shots_for_1sigma
1,sensor,HS-overlap,0.9665865418665363,0.03712389078419526,0.0013781832669568573,725.5929047869539
1,sensor,Fidelity,0.9642320688345313,0.023843128047113703,0.00056849475507106,1759.0311802876759
1,sensor,Bures-d2,0.036249954812728885,0.024779736986407154,0.0006140353651155146,1628.5706928490613
1,sensor,QRE,0.09104711989068809,0.0595111994481385,0.00354158285975612,282.359622688275
1,reference,HS-overlap,0.6848160287907379,0.06235239661664021,0.003887821363838805,257.21346389552417
1,reference,Fidelity,0.8348547022395607,0.026707331157644617,0.0007132815375640949,1401.970957239505
1,reference,Bures-d2,0.17282875333289008,0.029394630652591326,0.0008640443112022617,1157.348051523613
1,reference,QRE,0.3726267527897536,0.06730852336931317,0.004530437318157378,220.7292430671396
2,sensor,HS-overlap,0.9184765072914152,0.046196518430346944,0.002134118315085385,468.5775821009205
2,sensor,Fidelity,0.9513113954588022,0.023096953668639595,0.000533469268771284,1874.5222237510613
2,sensor,Bures-d2,0.04944161535519173,0.023823726136873908,0.0005675699270447689,1761.8974373903388
2,sensor,QRE,0.11434092224701763,0.05275366547284835,0.002782949220821192,359.3310264227244
2,reference,HS-overlap,0.625751190632123,0.10417961922444506,0.010853393061750363,92.13708508578853
2,reference,Fidelity,0.7810169167258246,0.06700055899254699,0.004489074905313769,222.76304608245422
2,reference,Bures-d2,0.23433374061922657,0.08056256815423513,0.00649032738760578,154.07543260601074
2,reference,QRE,0.5161737230475834,0.1909588931042346,0.036465298855594505,27.42333208237453
3,sensor,HS-overlap,0.9551429175123684,0.03694590554395919,0.0013649999364631544,732.6007667012028
3,sensor,Fidelity,0.9421097248161013,0.03236925045341097,0.0010477683749156464,954.4094133214394
3,sensor,Bures-d2,0.0590441031201819,0.03360216707080511,0.0011291056318542992,885.6567284654559
3,sensor,QRE,0.14446117363635705,0.08034334638221229,0.006455053307892145,154.9173883316145
3,reference,HS-overlap,0.6461824280263454,0.07328331720299552,0.0053704445802748605,186.20432350664342
3,reference,Fidelity,0.8056626225729454,0.03526118843311877,0.0012433514097159087,804.2778511253615
3,reference,Bures-d2,0.2052560297538476,0.03930103760537887,0.001544571556859404,647.4287290601881
3,reference,QRE,0.4489102667982042,0.09027031958027049,0.008148730597124166,122.71850051748159
4,sensor,HS-overlap,0.9521031469286451,0.03658520733525905,0.0013384773957638926,747.1175853734029
4,sensor,Fidelity,0.9826055907813791,0.009796009011314456,9.596179254975404e-05,10420.814090999003
4,sensor,Bures-d2,0.017495555008210848,0.009924147989343228,9.848871331438523e-05,10153.447703270383
4,sensor,QRE,0.039131022676961814,0.020436395557313265,0.0004176462633749733,2394.370757489993
4,reference,HS-overlap,0.6727533410984714,0.05520414280036202,0.0030474973823227613,328.1380997406513
4,reference,Fidelity,0.8079817844028868,0.030600127103078842,0.0009363677787245803,1067.9564405367437
4,reference,Bures-d2,0.20257125308845947,0.0343079784825066,0.0011770373875561358,849.5906846903855
4,reference,QRE,0.4390457122892001,0.07816368026372901,0.00610956091237046,163.67788362257411
5,sensor,HS-overlap,0.9101601720714905,0.049417157466209685,0.0024420554520401634,409.4911109264825
5,sensor,Fidelity,0.9517936170339711,0.019528950111764427,0.00038137989246778386,2622.057480611599
5,sensor,Bures-d2,0.0489062977646659,0.020194881368853543,0.0004078332335020679,2451.9826190057893
5,sensor,QRE,0.10925717781844364,0.04294153615218774,0.0018439755271096464,542.3065465339758
5,reference,HS-overlap,0.6776972722746069,0.04024855529617024,0.0016199462034288733,617.3044499152758
5,reference,Fidelity,0.8060229763224774,0.02040269069672291,0.0004162697876661435,2402.2882025779386
5,reference,Bures-d2,0.2045687984091895,0.022775110188273086,0.0005187056440879805,1927.8756871023838
5,reference,QRE,0.4428808199168149,0.05151702733858755,0.002654004105804777,376.78916841644025
6,sensor,HS-overlap,0.8259668860714624,0.14490747488692243,0.020998176278104054,47.62318340201547
6,sensor,Fidelity,0.9020861363729641,0.07875979128949717,0.006203104723965154,161.2095949527641
6,sensor,Bures-d2,0.10232729934997029,0.08475179466819464,0.007182866699479825,139.22018072149646
6,sensor,QRE,0.22925401056909994,0.19071742724414906,0.03637313705462729,27.492816979138805
6,reference,HS-overlap,0.5972483661662347,0.1663222636407676,0.027663095382589008,36.149244550174025
6,reference,Fidelity,0.8041771142450326,0.06840265847703521,0.004678923686725917,213.72436631890255
6,reference,Bures-d2,0.20810717325672312,0.07634497001190504,0.005828554446118681,171.56912734441633
6,reference,QRE,0.4776711071535948,0.1896190166452985,0.03595537147352999,27.81225611133487
7,sensor,HS-overlap,0.913165870661965,0.056962037463567504,0.0032446737120008676,308.1973994184265
7,sensor,Fidelity,0.9226535117373349,0.04585094884523022,0.0021023095100079184,475.6673530893334
7,sensor,Bures-d2,0.07952952109586948,0.049063088030343656,0.002407186607073251,415.4227167356327
7,sensor,QRE,0.18706718555714485,0.10686588153075045,0.011420316635344391,87.5632464431967
7,reference,HS-overlap,0.6618114040811849,0.08917760539412124,0.007952645303829602,125.7443230265091
7,reference,Fidelity,0.8217746157923385,0.047101376824134206,0.002218539698729087,450.7469488027914
7,reference,Bures-d2,0.18774932587314364,0.05334751443233095,0.002845957296107759,351.3756166923652
7,reference,QRE,0.41179856428782763,0.12374065905228192,0.01531175070269308,65.30931827567679
8,sensor,HS-overlap,0.9562919712491744,0.03955921909959584,0.001564931815769828,639.0054760999767
8,sensor,Fidelity,0.9697238858068055,0.024722895892328196,0.0006112215813028984,1636.0678853458835
8,sensor,Bures-d2,0.03067307577200591,0.025436366445151504,0.0006470087379320294,1545.574180645847
8,sensor,QRE,0.06996057762516156,0.056945577801296894,0.0032427988311235574,308.3755891368452
8,reference,HS-overlap,0.6643684193757827,0.08320324753619307,0.006922780400569017,144.450631413616
8,reference,Fidelity,0.8165528020826226,0.03487673451421567,0.0012163866103750824,822.107043493057
8,reference,Bures-d2,0.1931489324350431,0.03873535813524414,0.0015004279698656244,666.476512091119
8,reference,QRE,0.421164852784215,0.08925941754727028,0.007967243620877942,125.51392270465128
9,sensor,HS-overlap,0.9093895050178186,0.029461146667148323,0.0008679591629432248,1152.127937228093
9,sensor,Fidelity,0.9072232446677458,0.026103869681607075,0.0006814120123543251,1467.5409031093122
9,sensor,Bures-d2,0.09523274255658472,0.02747132400298278,0.0007546736424768577,1325.0760907959832
9,sensor,QRE,0.22783441938572085,0.06502541352982943,0.004228304404725324,236.50142096733956
9,reference,HS-overlap,0.7164486292120038,0.0706814033226418,0.00499586077565796,200.16570615266974
9,reference,Fidelity,0.8468370290848806,0.035758415228967895,0.0012786642596872833,782.0661228496097
9,reference,Bures-d2,0.15993669581712494,0.03892496549930467,0.0015151529391220588,659.9993797190141
9,reference,QRE,0.34454278812878547,0.08655580559371882,0.007491907481977647,133.47735572089965
10,sensor,HS-overlap,0.9774013429464016,0.014978700955672403,0.00022436148231946138,4457.093034249662
10,sensor,Fidelity,0.9678105694296758,0.015865264042463797,0.0002517066031370947,3972.8794856261247
10,sensor,Bures-d2,0.03251967185503431,0.016230714133472986,0.0002634360812825198,3795.987228217073
10,sensor,QRE,0.08076358043742811,0.038362115588942106,0.0014716519124593549,679.5085111728952
10,reference,HS-overlap,0.6129231387001075,0.06193975858363402,0.0038365336933988644,260.65195301701607
